sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0075,0.9512,0.0413
6.9,3.1,5.1,2.3,virginica,0.0128,0.0152,0.972
5.1,2.5,3.0,1.1,versicolor,0.0212,0.9565,0.0223
4.4,2.9,,0.2,setosa,0.4149,0.4464,0.1387
5.9,3.0,5.1,1.8,virginica,0.0137,0.2866,0.6996
5.5,3.5,1.3,0.2,setosa,0.9365,0.0384,0.0251
5.6,,3.6,1.3,versicolor,0.024,0.9673,0.0087
6.5,3.0,5.2,2.0,virginica,0.0117,0.0387,0.9497
5.3,3.7,1.5,0.2,setosa,0.9489,0.0297,0.0214
5.1,3.4,1.5,,setosa,0.6675,0.245,0.0875
6.1,2.8,4.0,1.3,versicolor,0.0095,0.9813,0.0093
5.5,2.4,3.7,1.0,versicolor,0.0099,0.9777,0.0124
7.7,3.0,6.1,2.3,virginica,0.0148,0.0119,0.9733
6.9,3.1,4.9,1.5,versicolor,0.0152,0.8413,0.1436
6.0,2.2,5.0,1.5,versicolor,0.0178,0.4775,0.5047
